date,nav,cash,dividend_receivables,holdings_value,gross_exposure,positions,stale_positions,benchmark_nav,cumulative_fees,cumulative_notional,cumulative_dividends,cumulative_cash_interest,cumulative_delist_writeoff,benchmark_matched_nav
2024-02-23,1017192.1646022433,712071.59576052,0,305120.56884172343,0.29996354618110527,15,0,895254.969380006,20539.90150677308,23808573.86370811,0.0,0.0,0.0,914502.8674435044
2024-02-26,1016390.8529888035,712071.59576052,0,304319.25722828356,0.299411644972405,15,0,894689.1942802577,20539.90150677308,23808573.86370811,0.0,0.0,0.0,914329.5067481615
2024-02-27,1015925.0541250724,712071.59576052,0,303853.4583645525,0.2990904271243069,15,0,892865.8941218283,20539.90150677308,23808573.86370811,0.0,0.0,0.0,913771.6054137499
2024-02-28,1019428.930186128,712071.59576052,0,307357.334425608,0.3014995212755935,15,0,909510.5233914745,20539.90150677308,23808573.86370811,0.0,0.0,0.0,918866.4162520585
2024-02-29,1020506.1130587062,712071.59576052,0,308434.5172981862,0.30223681499930716,15,0,907145.1454289209,20539.90150677308,23808573.86370811,0.0,0.0,0.0,918145.9198381386
2024-03-01,1013469.0958834832,68691.52579286975,0,944777.5700906134,0.9322213907933833,20,0,896938.6943206871,20708.020194479683,24451785.814988054,0.0,0.0,0.0,915023.746208552
2024-03-04,1008905.8684404858,68691.52579286975,0,940214.342647616,0.9319148317582397,20,0,891353.2156892405,20708.020194479683,24451785.814988054,0.0,0.0,0.0,909711.8563252371
2024-03-05,1012097.4267722886,68691.52579286975,0,943405.9009794189,0.9321295322210866,20,0,888971.9862356646,20708.020194479683,24451785.814988054,0.0,0.0,0.0,907447.0478122224
2024-03-06,1023895.5030417525,68691.52579286975,0,955203.9772488828,0.9329115856170835,20,0,906546.6133840233,20708.020194479683,24451785.814988054,0.0,0.0,0.0,924169.3321792678
2024-03-07,1028089.833132062,68691.52579286975,0,959398.3073391923,0.9331852883092892,20,0,908398.5858988037,20708.020194479683,24451785.814988054,0.0,0.0,0.0,925930.644756758
2024-03-08,1028759.9041260825,68691.52579286975,0,960068.3783332128,0.9332288073073549,20,0,916237.5582644455,20708.020194479683,24451785.814988054,0.0,0.0,0.0,933387.04179541
2024-03-11,1021822.1795469092,68691.52579286975,0,953130.6537540394,0.932775460184933,20,0,908178.7990978861,20708.020194479683,24451785.814988054,0.0,0.0,0.0,925725.6091042286
2024-03-12,1024060.1084131137,68691.52579286975,0,955368.582620244,0.932922369274481,20,0,911229.4659480284,20708.020194479683,24451785.814988054,0.0,0.0,0.0,928626.1755163318
2024-03-13,1024132.4641559622,68691.52579286975,0,955440.9383630925,0.9329271083604582,20,0,916918.0073681293,20708.020194479683,24451785.814988054,0.0,0.0,0.0,934034.4608646716
2024-03-14,1035817.3454477208,68691.52579286975,0,967125.8196548511,0.9336837463721187,20,0,932074.4531645919,20708.020194479683,24451785.814988054,0.0,0.0,0.0,948438.2740864264
2024-03-15,1036889.8942726895,68691.52579286975,0,968198.3684798197,0.9337523432600794,20,0,926418.6727167848,20708.020194479683,24451785.814988054,0.0,0.0,0.0,943064.8538363359
2024-03-18,1039411.5036434054,68691.52579286975,0,970719.9778505357,0.9339130598881307,20,0,931631.7960355055,20708.020194479683,24451785.814988054,0.0,0.0,0.0,948020.0854983598
2024-03-19,1039739.2063740124,68691.52579286975,0,971047.6805811427,0.9339338890254753,20,0,934340.4909832524,20708.020194479683,24451785.814988054,0.0,0.0,0.0,950594.2706610317
2024-03-20,1035644.0830352308,68691.52579286975,0,966952.557242361,0.9336726517168418,20,0,925954.8642756005,20708.020194479683,24451785.814988054,0.0,0.0,0.0,942626.4108826593
2024-03-21,1040489.5027782599,68691.52579286975,0,971797.9769853902,0.9339815292615127,20,0,925959.3957984248,20708.020194479683,24451785.814988054,0.0,0.0,0.0,942630.7180187696
2024-03-22,1042433.3956976027,68691.52579286975,0,973741.8699047329,0.9341046381702872,20,0,923932.5863359227,20708.020194479683,24451785.814988054,0.0,0.0,0.0,940703.6330846132
2024-03-25,1030602.9365473393,68691.52579286975,0,961911.4107544696,0.9333482145674883,20,0,904960.0704127293,20708.020194479683,24451785.814988054,0.0,0.0,0.0,922659.6259047303
2024-03-26,1033626.0808484135,68691.52579286975,0,964934.5550555438,0.933543157370326,20,0,910012.9623545409,20708.020194479683,24451785.814988054,0.0,0.0,0.0,927467.9730162874
2024-03-27,1040991.6409331694,68691.52579286975,0,972300.1151402997,0.9340133742752315,20,0,914613.0087307716,20708.020194479683,24451785.814988054,0.0,0.0,0.0,931844.68485035
2024-03-28,1036723.3345749731,68691.52579286975,0,968031.8087821034,0.9337416999290064,20,0,911171.0327325567,20708.020194479683,24451785.814988054,0.0,0.0,0.0,928569.2641395094
2024-03-29,1029032.5767144378,68691.52579286975,0,960341.0509215681,0.9332465003078984,20,0,900422.0194186231,20708.020194479683,24451785.814988054,0.0,0.0,0.0,918340.8158246357
2024-04-01,1038758.5077467434,65403.77144889289,0,973354.7362978505,0.9370365961278473,20,0,912659.1595662711,20857.671604969535,24621862.021257076,0.0,0.0,0.0,929988.3524294297
2024-04-02,1039550.8208474979,65403.77144889289,0,974147.049398605,0.9370845848637085,20,0,915011.3643710368,20857.671604969535,24621862.021257076,0.0,0.0,0.0,932234.3049856264
2024-04-03,1049876.2609483455,65403.77144889289,0,984472.4894994526,0.9377033524028687,20,0,923588.6577460845,20857.671604969535,24621862.021257076,0.0,0.0,0.0,940423.244265937
2024-04-04,1062889.8412661708,65403.77144889289,0,997486.069817278,0.938466086597478,20,0,935554.7726757887,20857.671604969535,24621862.021257076,0.0,0.0,0.0,951848.4335142159
2024-04-05,1055041.8752356013,65403.77144889289,0,989638.1037867083,0.9380083644222295,20,0,931346.6336922975,20857.671604969535,24621862.021257076,0.0,0.0,0.0,947830.4584335168
2024-04-08,1056932.0542581284,65403.77144889289,0,991528.2828092355,0.9381192280190608,20,0,938348.0379966801,20857.671604969535,24621862.021257076,0.0,0.0,0.0,954514.0696586337
2024-04-09,1060142.7381078037,65403.77144889289,0,994738.966658911,0.9383066363632988,20,0,936482.2626895325,20857.671604969535,24621862.021257076,0.0,0.0,0.0,952733.5951399951
2024-04-10,1068801.7720136968,65403.77144889289,0,1003398.0005648038,0.9388064530191901,20,0,936123.7169116794,20857.671604969535,24621862.021257076,0.0,0.0,0.0,952391.3310592027
2024-04-11,1065546.727361352,65403.77144889289,0,1000142.9559124591,0.9386195182534562,20,0,935571.0610961575,20857.671604969535,24621862.021257076,0.0,0.0,0.0,951863.4780571342
2024-04-12,1058293.5792781936,65403.77144889289,0,992889.8078293008,0.9381988394056956,20,0,935728.3715157257,20857.671604969535,24621862.021257076,0.0,0.0,0.0,952013.704005464
2024-04-15,1060879.313130657,65403.77144889289,0,995475.5416817641,0.9383494704445822,20,0,945326.9767459052,20857.671604969535,24621862.021257076,0.0,0.0,0.0,961175.833469665
2024-04-16,1060799.7909033722,65403.77144889289,0,995396.0194544795,0.9383448488491921,20,0,946551.4454860709,20857.671604969535,24621862.021257076,0.0,0.0,0.0,962344.0762533611
2024-04-17,1061506.0884809932,65403.77144889289,0,996102.3170321003,0.9383858725271325,20,0,945412.8664835163,20857.671604969535,24621862.021257076,0.0,0.0,0.0,961257.8712500738
2024-04-18,1063138.8669665344,65403.77144889289,0,997735.0955176415,0.9384805000728549,20,0,943232.5820160212,20857.671604969535,24621862.021257076,0.0,0.0,0.0,959177.6332654197
2024-04-19,1067356.5841417592,65403.77144889289,0,1001952.8126928663,0.938723597698624,20,0,946304.803977337,20857.671604969535,24621862.021257076,0.0,0.0,0.0,962109.5936054966
2024-04-22,1060665.8280303786,65403.77144889289,0,995262.0565814858,0.9383370617583245,20,0,938883.034471824,20857.671604969535,24621862.021257076,0.0,0.0,0.0,955026.2436590656
2024-04-23,1061209.4424097987,65403.77144889289,0,995805.6709609058,0.9383686491703526,20,0,934813.4415691139,20857.671604969535,24621862.021257076,0.0,0.0,0.0,951141.9357258967
2024-04-24,1059932.9310000585,65403.77144889289,0,994529.1595511658,0.9382944245470479,20,0,934541.8941266289,20857.671604969535,24621862.021257076,0.0,0.0,0.0,950882.6732953939
2024-04-25,1054578.869942047,65403.77144889289,0,989175.098493154,0.9379811474389895,20,0,929962.0897501957,20857.671604969535,24621862.021257076,0.0,0.0,0.0,946510.330311063
2024-04-26,1050194.7234971803,65403.77144889289,0,984790.9520482874,0.9377222433273171,20,0,929138.2430849676,20857.671604969535,24621862.021257076,0.0,0.0,0.0,945723.8268987824
